,support,itemsets
0,0.6633333333333333,"frozenset({'children_(-0.003, 1.0]'})"
1,0.6516666666666666,frozenset({'mortgage_NO'})
2,0.5066666666666667,frozenset({'car_NO'})
3,0.5,frozenset({'sex_FEMALE'})
4,0.475,"frozenset({'income_(4956.094, 24386.173]'})"
5,0.45666666666666667,frozenset({'pep_YES'})
6,0.4483333333333333,frozenset({'region_INNER_CITY'})
7,0.3566666666666667,"frozenset({'age_(34.333, 50.667]'})"
8,0.34,frozenset({'married_NO'})
9,0.31,frozenset({'save_act_NO'})
10,0.24166666666666667,frozenset({'current_act_NO'})
11,0.7583333333333333,frozenset({'current_act_YES'})
12,0.66,frozenset({'married_YES'})
13,0.5433333333333333,frozenset({'pep_NO'})
14,0.5,frozenset({'sex_MALE'})
15,0.49333333333333335,frozenset({'car_YES'})
16,0.39166666666666666,"frozenset({'income_(24386.173, 43758.137]'})"
17,0.34833333333333333,frozenset({'mortgage_YES'})
18,0.28833333333333333,frozenset({'region_TOWN'})
19,0.69,frozenset({'save_act_YES'})
20,0.31833333333333336,"frozenset({'age_(50.667, 67.0]'})"
21,0.325,"frozenset({'age_(17.951, 34.333]'})"
22,0.22333333333333333,"frozenset({'children_(1.0, 2.0]'})"
23,0.5,"frozenset({'children_(-0.003, 1.0]', 'current_act_YES'})"
24,0.4483333333333333,"frozenset({'children_(-0.003, 1.0]', 'save_act_YES'})"
25,0.3433333333333333,"frozenset({'children_(-0.003, 1.0]', 'save_act_YES', 'current_act_YES'})"
26,0.41333333333333333,"frozenset({'children_(-0.003, 1.0]', 'mortgage_NO'})"
27,0.5016666666666667,"frozenset({'mortgage_NO', 'current_act_YES'})"
28,0.45,"frozenset({'save_act_YES', 'mortgage_NO'})"
29,0.435,"frozenset({'mortgage_NO', 'married_YES'})"
30,0.32166666666666666,"frozenset({'children_(-0.003, 1.0]', 'mortgage_NO', 'current_act_YES'})"
31,0.2866666666666667,"frozenset({'children_(-0.003, 1.0]', 'mortgage_NO', 'married_YES'})"
32,0.2783333333333333,"frozenset({'children_(-0.003, 1.0]', 'save_act_YES', 'mortgage_NO'})"
33,0.22166666666666668,"frozenset({'married_YES', 'children_(-0.003, 1.0]', 'mortgage_NO', 'current_act_YES'})"
34,0.22333333333333333,"frozenset({'children_(-0.003, 1.0]', 'save_act_YES', 'mortgage_NO', 'current_act_YES'})"
35,0.35333333333333333,"frozenset({'save_act_YES', 'mortgage_NO', 'current_act_YES'})"
36,0.33166666666666667,"frozenset({'mortgage_NO', 'current_act_YES', 'married_YES'})"
37,0.30666666666666664,"frozenset({'save_act_YES', 'mortgage_NO', 'married_YES'})"
38,0.23666666666666666,"frozenset({'save_act_YES', 'mortgage_NO', 'current_act_YES', 'married_YES'})"
39,0.345,"frozenset({'children_(-0.003, 1.0]', 'car_NO'})"
40,0.3283333333333333,"frozenset({'car_NO', 'mortgage_NO'})"
41,0.39166666666666666,"frozenset({'car_NO', 'current_act_YES'})"
42,0.33666666666666667,"frozenset({'car_NO', 'married_YES'})"
43,0.28,"frozenset({'car_NO', 'pep_NO'})"
44,0.3416666666666667,"frozenset({'car_NO', 'save_act_YES'})"
45,0.265,"frozenset({'children_(-0.003, 1.0]', 'car_NO', 'current_act_YES'})"
46,0.21833333333333332,"frozenset({'children_(-0.003, 1.0]', 'car_NO', 'mortgage_NO'})"
47,0.2633333333333333,"frozenset({'car_NO', 'mortgage_NO', 'current_act_YES'})"
48,0.22166666666666668,"frozenset({'car_NO', 'mortgage_NO', 'married_YES'})"
49,0.215,"frozenset({'car_NO', 'mortgage_NO', 'save_act_YES'})"
50,0.25166666666666665,"frozenset({'car_NO', 'current_act_YES', 'married_YES'})"
51,0.23333333333333334,"frozenset({'children_(-0.003, 1.0]', 'car_NO', 'married_YES'})"
52,0.22166666666666668,"frozenset({'married_YES', 'car_NO', 'save_act_YES'})"
53,0.21,"frozenset({'car_NO', 'pep_NO', 'married_YES'})"
54,0.20833333333333334,"frozenset({'car_NO', 'current_act_YES', 'pep_NO'})"
55,0.225,"frozenset({'children_(-0.003, 1.0]', 'car_NO', 'save_act_YES'})"
56,0.265,"frozenset({'car_NO', 'current_act_YES', 'save_act_YES'})"
57,0.3416666666666667,"frozenset({'mortgage_NO', 'sex_FEMALE'})"
58,0.33,"frozenset({'children_(-0.003, 1.0]', 'sex_FEMALE'})"
59,0.255,"frozenset({'car_NO', 'sex_FEMALE'})"
60,0.38333333333333336,"frozenset({'sex_FEMALE', 'current_act_YES'})"
61,0.3433333333333333,"frozenset({'save_act_YES', 'sex_FEMALE'})"
62,0.325,"frozenset({'sex_FEMALE', 'married_YES'})"
63,0.2833333333333333,"frozenset({'sex_FEMALE', 'pep_NO'})"
64,0.265,"frozenset({'mortgage_NO', 'sex_FEMALE', 'current_act_YES'})"
65,0.23,"frozenset({'save_act_YES', 'mortgage_NO', 'sex_FEMALE'})"
66,0.21666666666666667,"frozenset({'children_(-0.003, 1.0]', 'mortgage_NO', 'sex_FEMALE'})"
67,0.255,"frozenset({'children_(-0.003, 1.0]', 'sex_FEMALE', 'current_act_YES'})"
68,0.22333333333333333,"frozenset({'children_(-0.003, 1.0]', 'save_act_YES', 'sex_FEMALE'})"
69,0.2,"frozenset({'car_NO', 'sex_FEMALE', 'current_act_YES'})"
70,0.26666666666666666,"frozenset({'save_act_YES', 'sex_FEMALE', 'current_act_YES'})"
71,0.24333333333333335,"frozenset({'sex_FEMALE', 'current_act_YES', 'married_YES'})"
72,0.23,"frozenset({'mortgage_NO', 'sex_FEMALE', 'married_YES'})"
73,0.22833333333333333,"frozenset({'save_act_YES', 'sex_FEMALE', 'married_YES'})"
74,0.22166666666666668,"frozenset({'children_(-0.003, 1.0]', 'sex_FEMALE', 'married_YES'})"
75,0.21333333333333335,"frozenset({'sex_FEMALE', 'current_act_YES', 'pep_NO'})"
76,0.21166666666666667,"frozenset({'married_YES', 'sex_FEMALE', 'pep_NO'})"
77,0.20333333333333334,"frozenset({'save_act_YES', 'sex_FEMALE', 'pep_NO'})"
78,0.31833333333333336,"frozenset({'children_(-0.003, 1.0]', 'income_(4956.094, 24386.173]'})"
79,0.31333333333333335,"frozenset({'mortgage_NO', 'income_(4956.094, 24386.173]'})"
80,0.27,"frozenset({'car_NO', 'income_(4956.094, 24386.173]'})"
81,0.22666666666666666,"frozenset({'income_(4956.094, 24386.173]', 'sex_FEMALE'})"
82,0.35833333333333334,"frozenset({'income_(4956.094, 24386.173]', 'current_act_YES'})"
83,0.325,"frozenset({'income_(4956.094, 24386.173]', 'married_YES'})"
84,0.29333333333333333,"frozenset({'income_(4956.094, 24386.173]', 'pep_NO'})"
85,0.285,"frozenset({'save_act_YES', 'income_(4956.094, 24386.173]'})"
86,0.205,"frozenset({'car_YES', 'income_(4956.094, 24386.173]'})"
87,0.24833333333333332,"frozenset({'sex_MALE', 'income_(4956.094, 24386.173]'})"
88,0.23833333333333334,"frozenset({'children_(-0.003, 1.0]', 'income_(4956.094, 24386.173]', 'current_act_YES'})"
89,0.22166666666666668,"frozenset({'children_(-0.003, 1.0]', 'income_(4956.094, 24386.173]', 'married_YES'})"
90,0.20166666666666666,"frozenset({'children_(-0.003, 1.0]', 'mortgage_NO', 'income_(4956.094, 24386.173]'})"
91,0.23833333333333334,"frozenset({'mortgage_NO', 'income_(4956.094, 24386.173]', 'current_act_YES'})"
92,0.22166666666666668,"frozenset({'mortgage_NO', 'income_(4956.094, 24386.173]', 'married_YES'})"
93,0.20333333333333334,"frozenset({'car_NO', 'income_(4956.094, 24386.173]', 'current_act_YES'})"
94,0.24,"frozenset({'income_(4956.094, 24386.173]', 'current_act_YES', 'married_YES'})"
95,0.22,"frozenset({'income_(4956.094, 24386.173]', 'current_act_YES', 'pep_NO'})"
96,0.21333333333333335,"frozenset({'married_YES', 'income_(4956.094, 24386.173]', 'pep_NO'})"
97,0.22,"frozenset({'save_act_YES', 'income_(4956.094, 24386.173]', 'current_act_YES'})"
98,0.3433333333333333,"frozenset({'pep_YES', 'children_(-0.003, 1.0]'})"
99,0.30333333333333334,"frozenset({'pep_YES', 'mortgage_NO'})"
100,0.22666666666666666,"frozenset({'pep_YES', 'car_NO'})"
101,0.21666666666666667,"frozenset({'pep_YES', 'sex_FEMALE'})"
102,0.3516666666666667,"frozenset({'pep_YES', 'current_act_YES'})"
103,0.29833333333333334,"frozenset({'pep_YES', 'save_act_YES'})"
104,0.25666666666666665,"frozenset({'pep_YES', 'married_YES'})"
105,0.24,"frozenset({'pep_YES', 'sex_MALE'})"
106,0.23,"frozenset({'pep_YES', 'car_YES'})"
107,0.26,"frozenset({'pep_YES', 'children_(-0.003, 1.0]', 'current_act_YES'})"
108,0.21333333333333335,"frozenset({'pep_YES', 'children_(-0.003, 1.0]', 'mortgage_NO'})"
109,0.23833333333333334,"frozenset({'pep_YES', 'mortgage_NO', 'current_act_YES'})"
110,0.23333333333333334,"frozenset({'pep_YES', 'save_act_YES', 'current_act_YES'})"
111,0.21333333333333335,"frozenset({'pep_YES', 'save_act_YES', 'mortgage_NO'})"
112,0.205,"frozenset({'pep_YES', 'save_act_YES', 'children_(-0.003, 1.0]'})"
113,0.31,"frozenset({'children_(-0.003, 1.0]', 'region_INNER_CITY'})"
114,0.2916666666666667,"frozenset({'mortgage_NO', 'region_INNER_CITY'})"
115,0.23166666666666666,"frozenset({'car_NO', 'region_INNER_CITY'})"
116,0.22666666666666666,"frozenset({'region_INNER_CITY', 'income_(4956.094, 24386.173]'})"
117,0.21833333333333332,"frozenset({'region_INNER_CITY', 'sex_FEMALE'})"
118,0.205,"frozenset({'pep_YES', 'region_INNER_CITY'})"
119,0.3416666666666667,"frozenset({'region_INNER_CITY', 'current_act_YES'})"
120,0.2966666666666667,"frozenset({'region_INNER_CITY', 'married_YES'})"
121,0.28833333333333333,"frozenset({'save_act_YES', 'region_INNER_CITY'})"
122,0.24333333333333335,"frozenset({'region_INNER_CITY', 'pep_NO'})"
123,0.21666666666666667,"frozenset({'car_YES', 'region_INNER_CITY'})"
124,0.23,"frozenset({'sex_MALE', 'region_INNER_CITY'})"
125,0.23166666666666666,"frozenset({'children_(-0.003, 1.0]', 'region_INNER_CITY', 'current_act_YES'})"
126,0.22666666666666666,"frozenset({'mortgage_NO', 'region_INNER_CITY', 'current_act_YES'})"
127,0.22666666666666666,"frozenset({'region_INNER_CITY', 'current_act_YES', 'married_YES'})"
128,0.20833333333333334,"frozenset({'children_(-0.003, 1.0]', 'region_INNER_CITY', 'married_YES'})"
129,0.22666666666666666,"frozenset({'save_act_YES', 'region_INNER_CITY', 'current_act_YES'})"
130,0.2,"frozenset({'save_act_YES', 'region_INNER_CITY', 'married_YES'})"
131,0.25333333333333335,"frozenset({'children_(-0.003, 1.0]', 'age_(34.333, 50.667]'})"
132,0.23,"frozenset({'mortgage_NO', 'age_(34.333, 50.667]'})"
133,0.2633333333333333,"frozenset({'age_(34.333, 50.667]', 'current_act_YES'})"
134,0.23333333333333334,"frozenset({'age_(34.333, 50.667]', 'married_YES'})"
135,0.205,"frozenset({'income_(24386.173, 43758.137]', 'age_(34.333, 50.667]'})"
136,0.24,"frozenset({'save_act_YES', 'age_(34.333, 50.667]'})"
137,0.21666666666666667,"frozenset({'married_NO', 'mortgage_NO'})"
138,0.215,"frozenset({'children_(-0.003, 1.0]', 'married_NO'})"
139,0.2,"frozenset({'pep_YES', 'married_NO'})"
140,0.27,"frozenset({'married_NO', 'current_act_YES'})"
141,0.22833333333333333,"frozenset({'save_act_YES', 'married_NO'})"
142,0.215,"frozenset({'children_(-0.003, 1.0]', 'save_act_NO'})"
143,0.20166666666666666,"frozenset({'save_act_NO', 'mortgage_NO'})"
144,0.22666666666666666,"frozenset({'save_act_NO', 'current_act_YES'})"
145,0.48833333333333334,"frozenset({'current_act_YES', 'married_YES'})"
146,0.46166666666666667,"frozenset({'save_act_YES', 'married_YES'})"
147,0.4483333333333333,"frozenset({'children_(-0.003, 1.0]', 'married_YES'})"
148,0.3433333333333333,"frozenset({'save_act_YES', 'current_act_YES', 'married_YES'})"
149,0.33,"frozenset({'children_(-0.003, 1.0]', 'current_act_YES', 'married_YES'})"
150,0.30666666666666664,"frozenset({'children_(-0.003, 1.0]', 'save_act_YES', 'married_YES'})"
151,0.225,"frozenset({'children_(-0.003, 1.0]', 'save_act_YES', 'current_act_YES', 'married_YES'})"
152,0.4066666666666667,"frozenset({'current_act_YES', 'pep_NO'})"
153,0.4033333333333333,"frozenset({'married_YES', 'pep_NO'})"
154,0.39166666666666666,"frozenset({'save_act_YES', 'pep_NO'})"
155,0.34833333333333333,"frozenset({'mortgage_NO', 'pep_NO'})"
156,0.32,"frozenset({'children_(-0.003, 1.0]', 'pep_NO'})"
157,0.295,"frozenset({'married_YES', 'current_act_YES', 'pep_NO'})"
158,0.29833333333333334,"frozenset({'save_act_YES', 'current_act_YES', 'pep_NO'})"
159,0.2916666666666667,"frozenset({'married_YES', 'save_act_YES', 'pep_NO'})"
160,0.21666666666666667,"frozenset({'married_YES', 'save_act_YES', 'current_act_YES', 'pep_NO'})"
161,0.285,"frozenset({'married_YES', 'mortgage_NO', 'pep_NO'})"
162,0.2633333333333333,"frozenset({'mortgage_NO', 'current_act_YES', 'pep_NO'})"
163,0.23666666666666666,"frozenset({'save_act_YES', 'mortgage_NO', 'pep_NO'})"
164,0.215,"frozenset({'married_YES', 'mortgage_NO', 'current_act_YES', 'pep_NO'})"
165,0.2,"frozenset({'married_YES', 'save_act_YES', 'mortgage_NO', 'pep_NO'})"
166,0.26,"frozenset({'married_YES', 'children_(-0.003, 1.0]', 'pep_NO'})"
167,0.24333333333333335,"frozenset({'children_(-0.003, 1.0]', 'save_act_YES', 'pep_NO'})"
168,0.24,"frozenset({'children_(-0.003, 1.0]', 'current_act_YES', 'pep_NO'})"
169,0.2,"frozenset({'children_(-0.003, 1.0]', 'mortgage_NO', 'pep_NO'})"
170,0.375,"frozenset({'sex_MALE', 'current_act_YES'})"
171,0.335,"frozenset({'sex_MALE', 'married_YES'})"
172,0.26,"frozenset({'sex_MALE', 'pep_NO'})"
173,0.3333333333333333,"frozenset({'children_(-0.003, 1.0]', 'sex_MALE'})"
174,0.31,"frozenset({'sex_MALE', 'mortgage_NO'})"
175,0.25166666666666665,"frozenset({'car_NO', 'sex_MALE'})"
176,0.3466666666666667,"frozenset({'sex_MALE', 'save_act_YES'})"
177,0.245,"frozenset({'sex_MALE', 'current_act_YES', 'married_YES'})"
178,0.23333333333333334,"frozenset({'save_act_YES', 'sex_MALE', 'married_YES'})"
179,0.245,"frozenset({'children_(-0.003, 1.0]', 'sex_MALE', 'current_act_YES'})"
180,0.22666666666666666,"frozenset({'children_(-0.003, 1.0]', 'sex_MALE', 'married_YES'})"
181,0.225,"frozenset({'children_(-0.003, 1.0]', 'sex_MALE', 'save_act_YES'})"
182,0.23666666666666666,"frozenset({'sex_MALE', 'mortgage_NO', 'current_act_YES'})"
183,0.22,"frozenset({'sex_MALE', 'mortgage_NO', 'save_act_YES'})"
184,0.205,"frozenset({'sex_MALE', 'mortgage_NO', 'married_YES'})"
185,0.265,"frozenset({'sex_MALE', 'current_act_YES', 'save_act_YES'})"
186,0.36666666666666664,"frozenset({'car_YES', 'current_act_YES'})"
187,0.3233333333333333,"frozenset({'car_YES', 'married_YES'})"
188,0.2633333333333333,"frozenset({'car_YES', 'pep_NO'})"
189,0.24833333333333332,"frozenset({'car_YES', 'sex_MALE'})"
190,0.34833333333333333,"frozenset({'car_YES', 'save_act_YES'})"
191,0.3233333333333333,"frozenset({'car_YES', 'mortgage_NO'})"
192,0.31833333333333336,"frozenset({'car_YES', 'children_(-0.003, 1.0]'})"
193,0.245,"frozenset({'car_YES', 'sex_FEMALE'})"
194,0.23666666666666666,"frozenset({'car_YES', 'current_act_YES', 'married_YES'})"
195,0.24,"frozenset({'car_YES', 'save_act_YES', 'married_YES'})"
196,0.21333333333333335,"frozenset({'car_YES', 'mortgage_NO', 'married_YES'})"
197,0.26666666666666666,"frozenset({'car_YES', 'save_act_YES', 'current_act_YES'})"
198,0.23833333333333334,"frozenset({'car_YES', 'mortgage_NO', 'current_act_YES'})"
199,0.235,"frozenset({'car_YES', 'save_act_YES', 'mortgage_NO'})"
200,0.235,"frozenset({'car_YES', 'children_(-0.003, 1.0]', 'current_act_YES'})"
201,0.22333333333333333,"frozenset({'car_YES', 'save_act_YES', 'children_(-0.003, 1.0]'})"
202,0.215,"frozenset({'car_YES', 'children_(-0.003, 1.0]', 'married_YES'})"
203,0.295,"frozenset({'income_(24386.173, 43758.137]', 'current_act_YES'})"
204,0.24666666666666667,"frozenset({'income_(24386.173, 43758.137]', 'married_YES'})"
205,0.215,"frozenset({'car_YES', 'income_(24386.173, 43758.137]'})"
206,0.20666666666666667,"frozenset({'income_(24386.173, 43758.137]', 'pep_NO'})"
207,0.27166666666666667,"frozenset({'save_act_YES', 'income_(24386.173, 43758.137]'})"
208,0.24666666666666667,"frozenset({'mortgage_NO', 'income_(24386.173, 43758.137]'})"
209,0.205,"frozenset({'sex_FEMALE', 'income_(24386.173, 43758.137]'})"
210,0.2633333333333333,"frozenset({'children_(-0.003, 1.0]', 'income_(24386.173, 43758.137]'})"
211,0.20666666666666667,"frozenset({'save_act_YES', 'income_(24386.173, 43758.137]', 'current_act_YES'})"
212,0.25666666666666665,"frozenset({'current_act_YES', 'mortgage_YES'})"
213,0.225,"frozenset({'married_YES', 'mortgage_YES'})"
214,0.25,"frozenset({'children_(-0.003, 1.0]', 'mortgage_YES'})"
215,0.24,"frozenset({'save_act_YES', 'mortgage_YES'})"
216,0.21333333333333335,"frozenset({'region_TOWN', 'current_act_YES'})"
217,0.21333333333333335,"frozenset({'save_act_YES', 'region_TOWN'})"
218,0.5316666666666666,"frozenset({'save_act_YES', 'current_act_YES'})"
219,0.25166666666666665,"frozenset({'save_act_YES', 'age_(50.667, 67.0]'})"
220,0.24,"frozenset({'current_act_YES', 'age_(50.667, 67.0]'})"
221,0.21333333333333335,"frozenset({'mortgage_NO', 'age_(50.667, 67.0]'})"
222,0.21333333333333335,"frozenset({'married_YES', 'age_(50.667, 67.0]'})"
223,0.20166666666666666,"frozenset({'children_(-0.003, 1.0]', 'age_(50.667, 67.0]'})"
224,0.29,"frozenset({'age_(17.951, 34.333]', 'income_(4956.094, 24386.173]'})"
225,0.255,"frozenset({'age_(17.951, 34.333]', 'current_act_YES'})"
226,0.21333333333333335,"frozenset({'age_(17.951, 34.333]', 'married_YES'})"
227,0.20833333333333334,"frozenset({'age_(17.951, 34.333]', 'mortgage_NO'})"
228,0.20666666666666667,"frozenset({'age_(17.951, 34.333]', 'pep_NO'})"
229,0.20833333333333334,"frozenset({'children_(-0.003, 1.0]', 'age_(17.951, 34.333]'})"
230,0.23,"frozenset({'age_(17.951, 34.333]', 'income_(4956.094, 24386.173]', 'current_act_YES'})"
